gender,marital_status,academic_failure,faculty_environment,home_environment,age_group,academic_year,degree_program,peer_competition,lecturer_strictness,lecturer_expectations,parental_expectations,time_management,curriculum_load,assignment_load,difficulty_catching_up,relaxation_time,exam_difficulty,exam_time_pressure,exam_stress,academic_confidence,career_confidence,decision_making,module_failure,exam_concern,employment_concern
Female,Single,Never,Satisfied,Yes,20-21,Year 1,,4.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,2.0,1.0
Female,Single,Never,Neither satisfied nor dissatisfied,Yes,20-21,Year 1,,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,5.0,4.0,1.0
Female,Single,Never,Very satisfied,Yes,20-21,Year 1,,5.0,5.0,4.0,5.0,1.0,5.0,5.0,4.0,5.0,2.0,2.0,2.0,1.0,1.0,1.0,5.0,4.0,3.0
Female,Single,Never,Satisfied,Yes,20-21,Year 1,,4.0,4.0,2.0,5.0,2.0,5.0,5.0,4.0,2.0,2.0,2.0,5.0,1.0,2.0,2.0,4.0,4.0,5.0
Female,Single,Never,Satisfied,Yes,20-21,Year 1,,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0
Female,Single,Never,Satisfied,Yes,20-21,Year 1,,3.0,2.0,4.0,3.0,1.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0
Female,Single,Never,Neither satisfied nor dissatisfied,No,20-21,Year 1,,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,1.0,1.0,3.0,4.0,4.0,4.0,2.0,2.0
Female,Single,Never,Satisfied,No,20-21,Year 1,,4.0,5.0,4.0,4.0,4.0,1.0,5.0,4.0,2.0,5.0,5.0,2.0,2.0,1.0,3.0,4.0,2.0,1.0
Female,Single,Never,Neither satisfied nor dissatisfied,Yes,20-21,Year 1,,5.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,3.0,4.0,5.0,4.0,5.0
Male,Single,Never,Satisfied,Yes,20-21,Year 1,,4.0,4.0,5.0,4.0,1.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,1.0,5.0,2.0,2.0,2.0,5.0
Female,Single,Never,Satisfied,Yes,20-21,Year 1,,5.0,4.0,5.0,1.0,2.0,4.0,1.0,4.0,5.0,5.0,5.0,4.0,1.0,1.0,1.0,5.0,1.0,5.0
Female,Single,Never,Satisfied,Yes,20-21,Year 1,,3.0,5.0,1.0,3.0,3.0,4.0,5.0,1.0,3.0,4.0,5.0,1.0,1.0,3.0,2.0,2.0,1.0,5.0
Male,Single,Never,Satisfied,Yes,20-21,Year 1,,3.0,4.0,3.0,4.0,1.0,4.0,2.0,4.0,2.0,2.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0
Male,Single,Never,Satisfied,Yes,20-21,Year 1,,3.0,3.0,5.0,5.0,2.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,1.0,2.0,2.0,4.0,2.0,5.0
Female,Single,Never,Neither satisfied nor dissatisfied,No,20-21,Year 1,,5.0,4.0,2.0,1.0,4.0,5.0,4.0,2.0,5.0,1.0,5.0,4.0,2.0,2.0,1.0,5.0,5.0,1.0
Male,Single,Never,Dissatisfied,Yes,20-21,Year 1,,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,5.0,5.0,5.0,1.0,1.0,1.0
Male,Single,Once or twice,Very satisfied,Yes,20-21,Year 1,,3.0,3.0,5.0,3.0,5.0,3.0,4.0,3.0,2.0,2.0,1.0,5.0,2.0,2.0,5.0,4.0,4.0,2.0
Female,Single,Never,Very satisfied,No,20-21,Year 1,,4.0,1.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,5.0,5.0,4.0
Female,Single,Never,Satisfied,Yes,20-21,Year 1,,3.0,3.0,3.0,4.0,2.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,4.0
Female,Single,Once or twice,Satisfied,Yes,20-21,Year 1,,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,3.0,3.0,3.0,2.0,4.0
Female,Single,Never,Satisfied,Yes,20-21,Year 1,,3.0,4.0,2.0,4.0,3.0,4.0,2.0,3.0,5.0,3.0,3.0,4.0,2.0,3.0,4.0,4.0,2.0,4.0
Female,Single,Never,Satisfied,Yes,20-21,Year 1,,5.0,4.0,2.0,1.0,1.0,4.0,2.0,1.0,3.0,5.0,4.0,2.0,1.0,2.0,3.0,2.0,1.0,4.0
Female,Single,Never,Satisfied,Yes,20-21,Year 1,,3.0,1.0,1.0,1.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0
Female,Single,Never,Very satisfied,Yes,20-21,Year 1,,5.0,4.0,3.0,3.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,5.0,1.0,3.0,4.0,2.0,5.0,3.0
Male,Single,Never,Very satisfied,Yes,20-21,Year 1,,3.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0
Female,Single,Never,Neither satisfied nor dissatisfied,Yes,20-21,Year 1,,5.0,3.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0
Male,Single,Never,Satisfied,Yes,20-21,Year 1,,5.0,2.0,2.0,4.0,3.0,3.0,2.0,5.0,3.0,2.0,2.0,2.0,1.0,4.0,4.0,4.0,1.0,4.0
Male,Single,Never,Satisfied,Yes,20-21,Year 1,,4.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0
Male,Single,Never,Very satisfied,Yes,20-21,Year 1,,5.0,5.0,5.0,5.0,2.0,5.0,5.0,3.0,5.0,5.0,3.0,5.0,1.0,1.0,2.0,5.0,5.0,2.0
Male,Single,Never,Satisfied,Yes,20-21,Year 1,,5.0,4.0,4.0,1.0,2.0,2.0,3.0,2.0,2.0,4.0,3.0,3.0,1.0,1.0,2.0,4.0,5.0,2.0
Female,Single,Never,Very satisfied,Yes,20-21,Year 1,,4.0,2.0,1.0,5.0,2.0,5.0,3.0,3.0,4.0,2.0,4.0,2.0,1.0,1.0,2.0,4.0,4.0,3.0
Female,Single,Once or twice,Satisfied,Yes,20-21,Year 1,,3.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0
Male,Single,Never,Satisfied,Yes,20-21,Year 1,,4.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,2.0,3.0
Male,Single,Never,Satisfied,Yes,20-21,Year 1,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,1.0,2.0,1.0
Female,Single,Never,Neither satisfied nor dissatisfied,No,20-21,Year 1,,4.0,1.0,2.0,1.0,2.0,1.0,2.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,2.0,5.0,5.0,5.0
Male,Single,Never,Neither satisfied nor dissatisfied,Yes,20-21,Year 1,,4.0,3.0,5.0,4.0,2.0,2.0,5.0,3.0,2.0,3.0,2.0,1.0,4.0,2.0,1.0,2.0,4.0,3.0
Female,Single,Never,Satisfied,No,20-21,Year 1,,4.0,3.0,5.0,3.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,2.0,2.0,2.0,4.0,4.0,4.0
Female,Single,Never,Satisfied,Yes,20-21,Year 1,,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,1.0,1.0,2.0,4.0,4.0,3.0
Female,Single,Never,Satisfied,Yes,20-21,Year 1,,3.0,2.0,3.0,2.0,3.0,4.0,2.0,2.0,2.0,4.0,5.0,4.0,3.0,2.0,2.0,5.0,4.0,2.0
Female,Single,Never,Satisfied,Yes,20-21,Year 1,,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,2.0,4.0,4.0,4.0
Female,Single,Never,Neither satisfied nor dissatisfied,Yes,20-21,Year 1,,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0
Female,Single,Never,Satisfied,Yes,20-21,Year 1,,5.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0,2.0,4.0,2.0,5.0,2.0,3.0,2.0,4.0,5.0,5.0
Male,Single,Never,Very satisfied,Yes,20-21,Year 1,,5.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0
Female,Single,Never,Satisfied,Yes,20-21,Year 1,,1.0,1.0,2.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,2.0,1.0,2.0,4.0,2.0,2.0
Female,Single,Never,Satisfied,Yes,20-21,Year 1,,2.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,4.0,4.0
Female,Single,Never,Satisfied,Yes,20-21,Year 1,,5.0,4.0,2.0,2.0,4.0,4.0,3.0,5.0,5.0,4.0,3.0,1.0,2.0,1.0,5.0,5.0,3.0,4.0
Male,Single,Never,Satisfied,Yes,20-21,Year 4,B.B.A. (Hons) in International Business,2.0,3.0,5.0,3.0,1.0,3.0,1.0,1.0,4.0,2.0,2.0,4.0,1.0,3.0,5.0,1.0,3.0,3.0
Male,Single,Never,Neither satisfied nor dissatisfied,No,20-21,Year 1,,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,5.0,2.0,2.0,4.0,1.0,1.0,2.0,3.0,2.0,1.0
Female,Single,Never,Satisfied,Yes,20-21,Year 1,,5.0,4.0,3.0,4.0,4.0,5.0,5.0,3.0,5.0,4.0,5.0,5.0,2.0,2.0,2.0,5.0,5.0,5.0
Female,Single,Never,Satisfied,Yes,20-21,Year 1,,3.0,2.0,2.0,1.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0
Female,Single,Never,Satisfied,No,20-21,Year 1,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Female,Single,Never,Very satisfied,Yes,20-21,Year 1,,3.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,4.0,4.0,3.0,1.0,1.0,1.0,5.0,2.0,2.0
Female,Single,Never,Satisfied,Yes,20-21,Year 1,,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Female,Single,Never,Satisfied,Yes,20-21,Year 1,,5.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,2.0,2.0,2.0,4.0,3.0,4.0
Female,Single,Never,Satisfied,Yes,20-21,Year 1,,4.0,2.0,3.0,1.0,3.0,2.0,2.0,3.0,4.0,4.0,3.0,4.0,2.0,2.0,4.0,5.0,5.0,2.0
Male,Single,Never,Satisfied,Yes,20-21,Year 1,,3.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,1.0,3.0,3.0
Female,Single,Never,Very satisfied,Yes,20-21,Year 1,,3.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,2.0,4.0,4.0,3.0
Female,Single,Never,Satisfied,Yes,20-21,Year 1,,4.0,1.0,1.0,1.0,3.0,3.0,4.0,2.0,5.0,4.0,3.0,4.0,2.0,2.0,3.0,2.0,4.0,3.0
Male,Single,Never,Neither satisfied nor dissatisfied,Yes,20-21,Year 1,,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0
Male,Single,Never,Very satisfied,Yes,20-21,Year 1,,4.0,2.0,4.0,2.0,2.0,2.0,2.0,5.0,4.0,5.0,4.0,4.0,1.0,1.0,2.0,4.0,5.0,2.0
Female,Single,Never,Very satisfied,Yes,20-21,Year 1,,4.0,5.0,5.0,5.0,2.0,4.0,3.0,5.0,1.0,4.0,5.0,2.0,2.0,2.0,4.0,4.0,5.0,2.0
Male,Single,Never,Neither satisfied nor dissatisfied,Yes,20-21,Year 1,,3.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Female,Single,Never,Satisfied,Yes,20-21,Year 1,,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0
Female,Single,Never,Satisfied,Yes,20-21,Year 1,,4.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0
Female,Single,Never,Satisfied,Yes,20-21,Year 1,,2.0,4.0,4.0,4.0,1.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,2.0,2.0,2.0,5.0,4.0,5.0
Male,Single,Never,Satisfied,Yes,20-21,Year 1,,5.0,2.0,5.0,1.0,1.0,5.0,2.0,2.0,5.0,4.0,4.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0
Female,Single,Never,Satisfied,Yes,20-21,Year 1,,5.0,2.0,3.0,3.0,4.0,3.0,1.0,3.0,3.0,2.0,5.0,5.0,1.0,1.0,2.0,5.0,5.0,2.0
Female,Single,Never,Satisfied,Yes,20-21,Year 1,,3.0,4.0,3.0,3.0,4.0,2.0,3.0,4.0,4.0,3.0,3.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0
Female,Single,Never,Satisfied,Yes,20-21,Year 1,,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Female,Single,Never,Satisfied,Yes,20-21,Year 1,,4.0,2.0,3.0,1.0,1.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,4.0,4.0
Female,Single,Never,Satisfied,Yes,20-21,Year 1,,2.0,2.0,3.0,2.0,2.0,4.0,4.0,2.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0
Male,Single,Never,Satisfied,Yes,20-21,Year 1,,4.0,4.0,3.0,1.0,1.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0
Female,Single,Never,Satisfied,Yes,20-21,Year 1,,3.0,4.0,4.0,1.0,3.0,4.0,2.0,2.0,2.0,3.0,4.0,4.0,1.0,1.0,2.0,1.0,2.0,4.0
Male,Single,Never,Satisfied,Yes,20-21,Year 1,,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,4.0
Male,Single,Never,Neither satisfied nor dissatisfied,No,20-21,Year 1,,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,5.0,4.0,3.0
Female,Single,Never,Very satisfied,Yes,20-21,Year 1,,5.0,4.0,3.0,2.0,5.0,5.0,4.0,3.0,3.0,1.0,1.0,3.0,3.0,4.0,3.0,3.0,2.0,1.0
Female,Single,Never,Neither satisfied nor dissatisfied,Yes,20-21,Year 1,,4.0,3.0,1.0,3.0,5.0,4.0,3.0,4.0,5.0,3.0,4.0,5.0,3.0,3.0,4.0,5.0,5.0,3.0
Female,Single,Never,Very satisfied,Yes,20-21,Year 1,,4.0,3.0,5.0,3.0,1.0,5.0,5.0,2.0,2.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,1.0,1.0
Female,Single,Never,Satisfied,Yes,20-21,Year 1,,5.0,3.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0
Female,Single,Never,Satisfied,Yes,20-21,Year 1,,4.0,4.0,4.0,3.0,1.0,2.0,5.0,4.0,2.0,5.0,4.0,5.0,1.0,1.0,2.0,5.0,5.0,4.0
Female,Single,Never,Satisfied,Yes,20-21,Year 1,,1.0,1.0,2.0,3.0,5.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,2.0,2.0,4.0,5.0,4.0
Female,Single,Never,Satisfied,Yes,20-21,Year 1,,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0
Female,Single,Never,Neither satisfied nor dissatisfied,Yes,20-21,Year 1,,3.0,2.0,2.0,3.0,3.0,3.0,2.0,4.0,2.0,4.0,3.0,4.0,2.0,2.0,2.0,3.0,3.0,4.0
Female,Single,Never,Neither satisfied nor dissatisfied,Yes,20-21,Year 1,,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,1.0,4.0,5.0
Female,Single,Never,Satisfied,Yes,20-21,Year 1,,5.0,2.0,2.0,2.0,4.0,5.0,5.0,3.0,5.0,5.0,3.0,3.0,1.0,1.0,3.0,2.0,3.0,4.0
Female,Single,Never,Satisfied,Yes,20-21,Year 1,,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0
Female,Single,Never,Satisfied,Yes,20-21,Year 1,,5.0,2.0,1.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0
Female,Single,Never,Satisfied,Yes,20-21,Year 1,,3.0,2.0,2.0,3.0,2.0,3.0,4.0,4.0,4.0,2.0,4.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0
Female,Single,Never,Satisfied,Yes,20-21,Year 1,,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,2.0,2.0,3.0,3.0,4.0
Female,Single,Never,Satisfied,Yes,20-21,Year 1,,4.0,3.0,4.0,4.0,2.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,2.0,2.0,3.0,5.0,3.0,2.0
Female,Single,Never,Very satisfied,Yes,20-21,Year 1,,5.0,2.0,5.0,2.0,1.0,5.0,3.0,4.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,4.0,4.0,4.0
Male,Single,Never,Satisfied,No,20-21,Year 1,,3.0,2.0,3.0,3.0,3.0,4.0,2.0,4.0,4.0,4.0,2.0,3.0,1.0,1.0,1.0,4.0,3.0,2.0
Female,Single,Never,Very satisfied,Yes,20-21,Year 1,,4.0,3.0,4.0,3.0,2.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,3.0,4.0,2.0
Female,Single,Never,Satisfied,Yes,20-21,Year 1,,3.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,1.0,2.0,3.0,2.0,2.0
Male,Single,Never,Very satisfied,Yes,20-21,Year 1,,4.0,5.0,4.0,2.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0
Female,Single,Never,Satisfied,Yes,20-21,Year 1,,4.0,3.0,4.0,3.0,2.0,3.0,3.0,4.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0
Female,Single,Never,Satisfied,Yes,20-21,Year 1,,4.0,4.0,5.0,2.0,1.0,4.0,4.0,3.0,5.0,3.0,4.0,4.0,1.0,1.0,2.0,2.0,3.0,4.0
Female,Single,Never,Very satisfied,Yes,20-21,Year 1,,4.0,5.0,4.0,5.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,2.0,2.0,2.0,3.0,4.0,4.0
Female,Single,Never,Satisfied,No,20-21,Year 1,,4.0,3.0,3.0,1.0,4.0,4.0,3.0,3.0,4.0,2.0,3.0,4.0,2.0,3.0,3.0,5.0,5.0,4.0
Female,Single,Never,Very satisfied,Yes,20-21,Year 1,,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,4.0,4.0
Female,Single,Never,Very satisfied,Yes,20-21,Year 1,,4.0,5.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Female,Single,Never,Very satisfied,Yes,20-21,Year 1,,4.0,2.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,2.0,2.0,5.0,5.0,4.0,2.0
Female,Single,Never,Satisfied,No,20-21,Year 1,,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,1.0,4.0,3.0,4.0,1.0,1.0,3.0,3.0,2.0,3.0
Female,Single,Never,Satisfied,Yes,20-21,Year 1,,3.0,2.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,4.0,3.0,2.0
Female,Single,Never,Satisfied,Yes,20-21,Year 1,,4.0,3.0,1.0,1.0,3.0,3.0,2.0,5.0,5.0,4.0,5.0,2.0,1.0,1.0,1.0,5.0,2.0,2.0
Female,Single,Never,Satisfied,Yes,20-21,Year 1,,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0,3.0,3.0,4.0,2.0,2.0,3.0,2.0,3.0,2.0
Female,Single,Never,Satisfied,Yes,20-21,Year 1,,4.0,3.0,1.0,1.0,3.0,4.0,2.0,3.0,2.0,4.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0,2.0
Female,Single,Never,Satisfied,Yes,20-21,Year 1,,3.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0
Male,Single,Never,Very satisfied,Yes,20-21,Year 1,,5.0,1.0,3.0,1.0,4.0,3.0,2.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,5.0
Female,Single,Never,Satisfied,Yes,20-21,Year 1,,3.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,4.0,5.0,2.0,1.0,3.0,3.0,3.0,4.0
Female,Single,Never,Very satisfied,Yes,20-21,Year 1,,4.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,4.0,4.0,1.0,1.0,2.0,5.0,4.0,2.0
Female,Single,Never,Very satisfied,Yes,20-21,Year 1,,3.0,2.0,4.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,3.0,2.0
Female,Single,Never,Satisfied,Yes,20-21,Year 1,,5.0,4.0,2.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,5.0,5.0
Female,Single,Never,Satisfied,Yes,20-21,Year 1,,4.0,4.0,4.0,2.0,2.0,4.0,5.0,4.0,5.0,1.0,4.0,5.0,2.0,2.0,4.0,4.0,4.0,4.0
Female,Single,Never,Satisfied,Yes,20-21,Year 1,,3.0,4.0,4.0,2.0,4.0,3.0,3.0,3.0,2.0,4.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0
Female,Single,Never,Satisfied,Yes,20-21,Year 1,,4.0,4.0,2.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,5.0,5.0
Female,Single,Never,Satisfied,Yes,20-21,Year 1,,4.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,4.0,3.0,5.0,3.0
Male,Single,Never,Neither satisfied nor dissatisfied,Yes,20-21,Year 1,,4.0,3.0,2.0,4.0,1.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,4.0,2.0,3.0,2.0,2.0,2.0
Female,Single,Never,Satisfied,Yes,20-21,Year 1,,4.0,3.0,4.0,2.0,3.0,3.0,3.0,4.0,2.0,4.0,4.0,5.0,2.0,1.0,2.0,4.0,4.0,4.0
Female,Single,Never,Satisfied,Yes,20-21,Year 1,,3.0,2.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,1.0,3.0,3.0
Female,Single,Never,Satisfied,Yes,20-21,Year 1,,3.0,2.0,4.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,4.0,2.0,1.0,2.0,1.0,3.0,3.0
Female,Single,Never,Satisfied,Yes,20-21,Year 1,,5.0,5.0,5.0,5.0,1.0,5.0,3.0,2.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0
Female,Single,Never,Very satisfied,Yes,20-21,Year 1,,4.0,1.0,5.0,1.0,3.0,4.0,5.0,5.0,3.0,5.0,4.0,5.0,3.0,2.0,2.0,5.0,5.0,5.0
Female,Single,Never,Very satisfied,Yes,20-21,Year 1,,4.0,4.0,4.0,1.0,2.0,5.0,2.0,1.0,3.0,3.0,2.0,5.0,1.0,1.0,2.0,1.0,1.0,4.0
Male,Single,Never,Satisfied,Yes,20-21,Year 1,,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,2.0,3.0,4.0,2.0,2.0,4.0,3.0,4.0,2.0
Male,Divorced,Never,Very satisfied,Yes,20-21,Year 1,,4.0,5.0,5.0,4.0,2.0,4.0,4.0,5.0,5.0,3.0,3.0,2.0,5.0,1.0,1.0,4.0,4.0,3.0
Male,Single,Never,Very satisfied,Yes,20-21,Year 1,,5.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,4.0,3.0
Female,Single,Never,Satisfied,Yes,20-21,Year 1,,5.0,5.0,4.0,4.0,2.0,5.0,5.0,5.0,1.0,5.0,4.0,4.0,1.0,1.0,1.0,5.0,5.0,5.0
Female,Single,Never,Satisfied,Yes,20-21,Year 1,,3.0,2.0,3.0,2.0,5.0,4.0,3.0,4.0,2.0,5.0,5.0,3.0,4.0,3.0,4.0,2.0,1.0,1.0
Female,Single,Never,Very satisfied,Yes,20-21,Year 1,,4.0,4.0,4.0,4.0,1.0,1.0,4.0,1.0,2.0,1.0,5.0,1.0,2.0,1.0,5.0,5.0,4.0,4.0
Female,Single,Once or twice,Dissatisfied,No,24-25,Year 1,,3.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,3.0,4.0,3.0,4.0,2.0,2.0,3.0,4.0,3.0,4.0
Female,Single,Never,Satisfied,Yes,20-21,Year 1,,3.0,4.0,4.0,3.0,3.0,4.0,5.0,3.0,2.0,5.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0
Female,Single,Never,Satisfied,Yes,20-21,Year 1,,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0
Male,Single,Never,Satisfied,Yes,20-21,Year 1,,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0
Male,Single,Never,Satisfied,Yes,20-21,Year 1,,4.0,4.0,4.0,4.0,2.0,4.0,3.0,3.0,2.0,4.0,3.0,2.0,1.0,1.0,1.0,5.0,4.0,3.0
